"","ask","base_volume","bid","date","high","last","low","marketName","moy_prev_dev","open_buy_orders","open_sell_orders","volume"
"83",0.00104343,4.65611503,0.00104195,"2020-03-27T09:51:59.69",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,393,3072,4521.34509681
"84",0.00104378,4.65611503,0.00104195,"2020-03-27T09:52:14.703",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,392,3071,4521.34509681
"85",0.00104378,4.65611503,0.00104195,"2020-03-27T09:52:29.69",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,393,3072,4521.34509681
"86",0.00104378,4.65611503,0.0010426,"2020-03-27T09:52:44.697",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,394,3072,4521.34509681
"87",0.00104378,4.65611503,0.00104261,"2020-03-27T09:52:59.693",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,393,3069,4521.34509681
"88",0.0010457,4.65611503,0.00104265,"2020-03-27T09:53:14.703",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,394,3069,4521.34509681
"89",0.00104265,4.6701518,0.0010421,"2020-03-27T09:53:29.75",0.00104922,0.00104265,0.00101783,"BTC-NEO",0.00103242,395,3070,4534.80768977
"90",0.00104265,4.6701518,0.00104221,"2020-03-27T09:53:44.83",0.00104922,0.00104265,0.00101783,"BTC-NEO",0.00103242,394,3071,4534.80768977
"91",0.00104265,4.6701518,0.00104232,"2020-03-27T09:53:59.773",0.00104922,0.00104265,0.00101783,"BTC-NEO",0.00103242,395,3072,4534.80768977
"92",0.00104265,4.6701518,0.00104232,"2020-03-27T09:54:14.763",0.00104922,0.00104265,0.00101783,"BTC-NEO",0.00103242,396,3071,4534.80768977
"93",0.00104556,4.6701518,0.00104232,"2020-03-27T09:54:29.777",0.00104922,0.00104265,0.00101783,"BTC-NEO",0.00103242,396,3070,4534.80768977
"94",0.00104232,4.68217951,0.00104184,"2020-03-27T09:54:44.793",0.00104922,0.00104232,0.00101783,"BTC-NEO",0.00103242,394,3071,4546.34705517
"95",0.00104232,4.68217951,0.00104195,"2020-03-27T09:54:59.87",0.00104922,0.00104232,0.00101783,"BTC-NEO",0.00103242,397,3070,4546.34705517
"96",0.00104232,4.68217951,0.00104049,"2020-03-27T09:55:14.823",0.00104922,0.00104232,0.00101783,"BTC-NEO",0.00103242,394,3071,4546.34705517
"97",0.00104232,4.68217951,0.00104049,"2020-03-27T09:55:34.883",0.00104922,0.00104232,0.00101783,"BTC-NEO",0.00103242,394,3072,4546.34705517
"98",0.00104587,4.70825664,0.0010405,"2020-03-27T09:55:49.827",0.00104922,0.00104082,0.00101783,"BTC-NEO",0.00103242,392,3073,4571.40146737
"99",0.00104486,4.70825664,0.00104061,"2020-03-27T09:56:04.91",0.00104922,0.00104082,0.00101783,"BTC-NEO",0.00103242,395,3074,4571.40146737
"100",0.00104453,4.70825664,0.00104052,"2020-03-27T09:56:19.88",0.00104922,0.00104082,0.00101783,"BTC-NEO",0.00103242,394,3071,4571.40146737
